no;abbr;long
660;DMW;Dead Man Walking
661;DMX;Dark Man X (rapper)
662;DMY;Don’t Mess Yourself
663;DMZ;De-militarized zone
664;DN;Doing Nothing
665;DNC;Do not compute (  I do not understand)
666;DND;Do Not Disturb
667;DNDC;Don’t Know, Don’t Care
668;DNE;Do Not Erase Does Not Exist
669;DNF;Did Not Finish
670;DNFTT;Do Not Feed The Troll
671;DNK;Do Not Know
672;DNM;Does Not Matter Deep and  ful
673;DNP;Do Not Post
674;DNR;Dinner (SMS)
675;DNS;Domain Name Service Did Not Start
676;DNT;Don’t
677;DNTK;Don’t Need To Know
678;DNW;Do Not Want
679;DOA;Dead On Arrival Deteriorate On Approach
680;DOB;Date Of Birth
681;DOC;Doctor Drug of Choice
682;DOD;Day of Defeat
683;DOE;Depends On Experience
684;DOF;Depth of Field
685;DOFL;Dying On  fucking
686;DORBS;   Adorable 
687;DOT;Damage over time  
688;Downvote;Voting negatively
689;DPS;Damage per second  
690;DQMOT;Don’t quote me on this
691;DR;Didn’t read
692;DRT;Dead Right There
693;DS;Darling Son
694;DSD;Do Some Damage
695;DSL;Digital Subscriber Line
696;DSLR;Digital Single Lens Reflex (camera)
697;DSP;Digital Signal Processing
698;DSS;Department of Social Services
699;DST;Daylight Saving Time
700;DT;Down Town
701;DTA;Don’t Trust Anyone
702;DTAM;Death To All Men
703;DTB;Don’t Text Back
704;DTC;Down To Cuddle
705;DTD;Drunk Till Dawn Drunk Till Death
706;DTE;Down To Earth
707;DTH;Down To Hang
708;DTL;Does The Look
709;DTM;Doing Too Much Dead To Me
710;DTMS;Does That Make Sense?
711;DTMWTD;Don’t Tell Me What To Do
712;DTP;Disturbing The Peace
713;DTR;Define the relationship
714;DTRT;Do the right thing
715;DTS;Don’t think so
716;DTT;Don’t Touch That
717;DTTC;Don’t Text The Cell
718;DTTD;Don’t touch that dial
719;DTTM;Don’t Talk To Me
720;DTYT;Don’t Take Your Time
721;DUPE;Duplicate
722;DUR;Do you remember?
723;DV8;Deviate
724;DW;Dear (or Darling) wife
725;DWBH ; Don’t Worry, Be Happy
726;DWF;Divorced white female
727;DWM;Divorced white male
728;DXNRY;Dictionary
